longitude,latitude,occurences
-40.900557,174.885971,2
-27.242339,-50.218856,1
-25.274398,133.775136,6
-24.957777,-53.459511,1
-23.442503,-58.443832,1
-22.906847,-43.172896,1
-22.738918,-47.657821,1
-22.422971,-45.460251,1
-22.008708,-47.890926,1
-17.413977,-66.165322,1
-14.235004,-51.92528,10
-12.028273,-77.090605,1
-9.649849,-35.708949,2
1.352083,103.819836,11
4.570868,-74.297333,1
4.650142,-112.423108,1
4.710989,-74.072092,1
10.823099,106.629664,1
14.627548,121.052498,1
17.385044,78.486671,2
19.424783,-97.004152,3
22.270978,113.576678,5
22.543096,114.057865,3
23.12911,113.264385,2
23.132191,113.266531,1
23.69781,120.960515,5
25.76168,-80.19179,1
27.664827,-81.515754,1
27.950575,-82.457178,1
28.071867,-15.439901,1
28.538336,-81.379236,2
29.424122,-98.493628,1
30.267153,-97.743061,4
30.274085,120.15507,3
30.438256,-84.280733,5
31.230416,121.473701,6
31.298979,120.58529,1
31.820592,117.227219,3
31.968599,-99.901813,1
32.060255,118.796877,2
32.221743,-110.926479,5
32.476363,-117.067057,1
32.715738,-117.161084,2
33.423205,-111.887951,1
33.428283,-111.750401,6
33.748995,-84.387982,2
33.883378,-116.609125,2
33.886917,9.537499,1
34.019454,-118.491191,5
34.028623,-117.810337,1
34.052234,-118.243685,7
34.650142,-112.423108,2
34.797281,114.307583,2
35.689488,139.691706,5
35.709026,139.731992,3
35.86166,104.195397,8
35.907757,127.766922,2
36.067108,120.382609,1
36.153982,-95.992775,1
36.169941,-115.13983,1
36.204824,138.252924,1
36.778261,-119.417932,1
37.025911,-107.877158,1
37.09024,-95.712891,11
37.338208,-121.886329,7
37.354108,-121.955236,2
37.386052,-122.083851,1
37.431573,-78.656894,2
37.441883,-122.143019,1
37.566535,126.977969,2
37.667653,-97.313845,1
37.677114,121.058072,1
37.77493,-122.419416,7
37.827178,-122.291308,4
38.037057,114.468665,1
38.914003,121.614682,2
38.951705,-92.334072,2
39.103118,-84.51202,2
39.143441,-77.20137,3
39.290385,-76.612189,1
39.324325,-76.447499,1
39.399872,-8.224454,7
39.739236,-104.990251,6
39.758948,-84.191607,1
39.904211,116.407395,19
40.014986,-105.270546,3
40.203315,-8.410257,1
40.416775,-3.70379,2
40.425869,-86.908066,1
40.440625,-79.995886,4
40.58526,-105.084423,1
40.625932,-75.370458,2
40.712784,-74.005941,1
40.925654,-73.140943,8
40.979265,-74.116531,1
41.203322,-77.194525,3
41.385064,2.173403,1
41.600545,-93.609106,1
41.87194,12.56738,4
41.878114,-87.629798,4
42.262593,-71.802293,1
42.280826,-83.743038,4
42.291707,-85.587229,1
42.360083,-71.05888,1
42.373616,-71.109733,3
42.41843,-71.106164,6
42.46179,14.21609,4
42.728412,-73.691785,1
42.827014,-75.544624,1
43.038903,-87.906474,1
43.16103,-77.610922,1
43.464258,-80.52041,2
43.653226,-79.383184,8
44.059187,-79.461256,2
44.953703,-93.089958,1
44.977753,-93.265011,1
45.056004,-92.808844,1
45.42153,-75.697193,1
45.465422,9.185924,3
45.494763,12.239826,1
45.721998,-72.233574,1
46.147909,-60.144429,1
46.227638,2.213749,1
47.516231,14.550072,2
47.673988,-122.121512,1
47.681488,-122.208735,1
48.370545,10.89779,9
48.775846,9.182932,1
48.856614,2.352222,4
49.282729,-123.120738,5
49.796826,19.365964,5
50.075538,14.4378,3
50.503887,4.469936,3
51.050409,13.737262,1
51.165691,10.451526,2
52.520007,13.404954,4
53.349805,-6.26031,2
53.551085,9.993682,11
53.90454,27.561524,1
53.980774,-6.714882,2
54.323293,10.122765,1
55.378051,-3.435973,1
