latitude,longitude,occurences
-33.44889,-70.669265,2
-27.242339,-50.218856,1
-25.274398,133.775136,1
-10.947247,-37.073082,1
-8.576995,116.100489,1
-6.208763,106.845599,1
4.210484,101.975766,1
4.570868,-74.297333,1
6.42375,-66.58973,2
9.648579,123.855566,1
9.748917,-83.753428,3
9.925201,78.119775,3
10.823099,106.629664,1
12.879721,121.774017,1
12.971599,77.594563,5
13.043661,77.552562,3
13.08268,80.270718,3
13.756331,100.501765,1
13.794185,-88.89653,2
19.075984,72.877656,1
20.299546,-103.263441,1
20.593684,78.96288,4
21.285407,39.237551,3
22.543096,114.057865,3
23.12911,113.264385,1
23.634501,-102.552784,2
23.69781,120.960515,1
23.987159,121.601571,1
24.880095,102.832892,2
25.032969,121.565418,4
26.520342,80.23248,1
27.751828,-82.626734,1
28.228209,112.938814,1
28.374923,-16.699962,1
30.267153,-97.743061,3
30.274085,120.15507,3
30.572816,104.066801,4
31.046051,34.851612,3
31.230416,121.473701,5
31.892773,34.811272,6
32.0853,34.781768,1
32.776664,-96.796988,12
33.513807,36.276528,1
33.598394,73.044135,1
33.66761,-84.01769,1
33.983069,-118.096735,1
34.341575,108.93977,2
34.795318,135.579516,1
34.795318,135.579516,2
35.011636,135.768029,1
35.689198,51.388974,1
35.689488,139.691706,1
35.709026,139.731992,3
35.79154,-78.781117,1
35.86166,104.195397,12
36.204824,138.252924,3
37.09024,-95.712891,12
37.338208,-121.886329,4
37.354108,-121.955236,3
37.386052,-122.083851,1
37.387474,-122.057543,1
37.566535,126.977969,2
37.765207,-122.241636,1
37.77493,-122.419416,2
38.465132,-123.035522,1
38.722252,-9.139337,3
38.78928,-77.187204,2
38.914003,121.614682,1
39.074208,21.824312,1
39.399872,-8.224454,1
39.739236,-104.990251,1
39.768403,-86.158068,10
39.904211,116.407395,7
39.933364,32.859742,3
39.952584,-75.165222,4
39.999044,116.324667,2
40.058324,-74.405661,1
40.203315,-8.410257,2
40.416775,-3.70379,1
40.440625,-79.995886,3
40.678178,-73.944158,1
40.712784,-74.005941,3
41.008238,28.978359,6
41.740104,-71.560718,12
41.853177,-71.397281,2
41.87194,12.56738,6
42.271131,-89.093995,1
42.271397,42.705444,1
42.360083,-71.05888,8
42.697708,23.321868,1
42.886447,-78.878369,1
42.891983,-72.565627,1
43.038903,-87.906474,1
43.222015,76.851249,5
43.58392,1.545077,2
43.653226,-79.383184,2
44.475883,-73.212072,1
44.564566,-123.262043,1
44.591862,38.024166,1
44.72508,-84.050658,2
44.804132,-93.166886,1
45.501689,-73.567256,1
46.227638,2.213749,3
46.818188,8.227512,1
46.947974,7.447447,2
47.235714,39.701505,1
47.376887,8.541694,2
47.60621,-122.332071,1
48.135125,11.581981,1
48.148597,17.107748,1
48.208174,16.373819,1
48.379433,31.16558,2
48.379433,31.16558,9
48.464717,35.046183,2
48.801408,2.130122,1
48.856614,2.352222,14
49.00689,8.403653,1
49.588267,34.551417,1
50.4501,30.5234,9
50.62925,3.057256,1
50.82253,-0.137163,1
50.85034,4.35171,1
51.054342,3.717424,1
51.165691,10.451526,3
51.455643,7.011555,1
51.507351,-0.127758,4
51.761206,-1.246467,1
51.919438,19.145136,1
51.92442,4.477733,2
52.132633,5.291266,2
52.221537,6.893662,2
52.229676,21.012229,1
52.370216,4.895168,5
52.51557,103.91716,1
52.520007,13.404954,6
53.349805,-6.26031,
53.551085,9.993682,9
54.710426,20.452214,1
54.738762,55.972055,1
55.008353,82.935733,1
55.378051,-3.435973,3
55.755826,37.6173,8
56.490671,-4.202646,2
57.005067,40.976645,1
59.329323,18.068581,2
59.913869,10.752245,4
59.93428,30.335099,4
60.169856,24.938379,1
61.497752,23.760954,1
61.52401,105.318756,2
61.92411,25.748151,2
