repository_language,period,percentage
JavaScript,0,0.159707686
Ruby,0,0.102710544
Java,0,0.092000965
Python,0,0.078970864
PHP,0,0.074118473
C,0,0.056410503
C++,0,0.043567929
Objective-C,0,0.020762589
Shell,0,0.019397087
C#,0,0.018300465
JavaScript,1,0.176268012
Ruby,1,0.09735249
Java,1,0.092798625
Python,1,0.083449284
PHP,1,0.078225187
C,1,0.046603387
C++,1,0.043351869
Objective-C,1,0.022832097
Shell,1,0.021033701
C#,1,0.018039743
JavaScript,2,0.19322288
Ruby,2,0.092591508
Java,2,0.102433384
Python,2,0.083289131
PHP,2,0.07813318
C,2,0.045148723
C++,2,0.046895611
Objective-C,2,0.02335814
Shell,2,0.022574948
C#,2,0.019273705
JavaScript,3,0.180688322
Ruby,3,0.084562586
Java,3,0.098019487
Python,3,0.084623881
PHP,3,0.072757309
C,3,0.044043995
C++,3,0.04755199
Objective-C,3,0.021690302
Shell,3,0.024854621
C#,3,0.01972507
JavaScript,4,0.173824332
Ruby,4,0.073225043
Java,4,0.103552809
Python,4,0.088221715
PHP,4,0.07098074
C,4,0.045581413
C++,4,0.046672435
Objective-C,4,0.021890221
Shell,4,0.023453404
C#,4,0.022062586
JavaScript,5,0.174913958
Ruby,5,0.062732475
Java,5,0.100724714
Python,5,0.086946049
PHP,5,0.065943179
C,5,0.03903581
C++,5,0.046936989
Objective-C,5,0.018560993
Shell,5,0.023386216
C#,5,0.024268578
